prompt,category,difficulty,prompt_contextual
"My order hasn’t arrived yet, what do I do?",shipping_delivery,medium,"Customer: My order hasn’t arrived yet, what do I do?

Agent: I am sorry you are dealing with this. I can help check next steps.

Customer: I already tried basic troubleshooting and still need help."
"My package is delayed, can you check the status?",shipping_delivery,medium,"Customer: My package is delayed, can you check the status?

Agent: I am sorry you are dealing with this. I can help check next steps.

Customer: I already tried basic troubleshooting and still need help."
It says delivered but I never received my order,shipping_delivery,easy,"Customer: It says delivered but I never received my order

Agent: I am sorry you are dealing with this. I can help check next steps.

Customer: I already tried basic troubleshooting and still need help."
How long does shipping usually take?,shipping_delivery,easy,"Customer: How long does shipping usually take?

Agent: I am sorry you are dealing with this. I can help check next steps.

Customer: I already tried basic troubleshooting and still need help."
Can I change my shipping address after placing an order?,shipping_delivery,easy,"Customer: Can I change my shipping address after placing an order?

Agent: I am sorry you are dealing with this. I can help check next steps.

Customer: I already tried basic troubleshooting and still need help."
My tracking number isn’t working,shipping_delivery,easy,"Customer: My tracking number isn’t working

Agent: I am sorry you are dealing with this. I can help check next steps.

Customer: I already tried basic troubleshooting and still need help."
Why is my order taking so long to ship?,shipping_delivery,medium,"Customer: Why is my order taking so long to ship?

Agent: I am sorry you are dealing with this. I can help check next steps.

Customer: I already tried basic troubleshooting and still need help."
I paid for express shipping but it’s late,shipping_delivery,easy,"Customer: I paid for express shipping but it’s late

Agent: I am sorry you are dealing with this. I can help check next steps.

Customer: I already tried basic troubleshooting and still need help."
My order is stuck in transit,shipping_delivery,easy,"Customer: My order is stuck in transit

Agent: I am sorry you are dealing with this. I can help check next steps.

Customer: I already tried basic troubleshooting and still need help."
Can I pick up my order instead of delivery?,shipping_delivery,easy,"Customer: Can I pick up my order instead of delivery?

Agent: I am sorry you are dealing with this. I can help check next steps.

Customer: I already tried basic troubleshooting and still need help."
I received only part of my order,shipping_delivery,easy,"Customer: I received only part of my order

Agent: I am sorry you are dealing with this. I can help check next steps.

Customer: I already tried basic troubleshooting and still need help."
My package was damaged during delivery,shipping_delivery,easy,"Customer: My package was damaged during delivery

Agent: I am sorry you are dealing with this. I can help check next steps.

Customer: I already tried basic troubleshooting and still need help."
