category,outcome_key,count
account_access,model_a_wins,5
other,model_a_wins,6
payments_billing,model_a_wins,9
product_quality,model_a_wins,3
returns_refunds,model_a_wins,9
shipping_delivery,model_a_wins,10
account_access,model_b_wins,2
other,model_b_wins,9
payments_billing,model_b_wins,2
product_quality,model_b_wins,1
returns_refunds,model_b_wins,5
shipping_delivery,model_b_wins,9
account_access,ties,4
other,ties,4
payments_billing,ties,1
product_quality,ties,1
returns_refunds,ties,10
shipping_delivery,ties,10
